0,1,2,3,4,target
1.5517,1.5567,1.5666,1.5756,1.5789,1.5755
1.5567,1.5666,1.5756,1.5789,1.5755,1.5792
1.5666,1.5756,1.5789,1.5755,1.5792,1.5882
1.5756,1.5789,1.5755,1.5792,1.5882,1.5703
1.5789,1.5755,1.5792,1.5882,1.5703,1.5698
1.5755,1.5792,1.5882,1.5703,1.5698,1.5727
1.5792,1.5882,1.5703,1.5698,1.5727,1.5669
1.5882,1.5703,1.5698,1.5727,1.5669,1.5742
1.5703,1.5698,1.5727,1.5669,1.5742,1.5788
1.5698,1.5727,1.5669,1.5742,1.5788,1.5923
1.5727,1.5669,1.5742,1.5788,1.5923,1.5907
1.5669,1.5742,1.5788,1.5923,1.5907,1.5911
1.5742,1.5788,1.5923,1.5907,1.5911,1.5826
1.5788,1.5923,1.5907,1.5911,1.5826,1.5862
1.5923,1.5907,1.5911,1.5826,1.5862,1.5837
1.5907,1.5911,1.5826,1.5862,1.5837,1.5922
1.5911,1.5826,1.5862,1.5837,1.5922,1.5783
1.5826,1.5862,1.5837,1.5922,1.5783,1.5697
1.5862,1.5837,1.5922,1.5783,1.5697,1.5678
1.5837,1.5922,1.5783,1.5697,1.5678,1.5698
1.5922,1.5783,1.5697,1.5678,1.5698,1.574
1.5783,1.5697,1.5678,1.5698,1.574,1.5588
1.5697,1.5678,1.5698,1.574,1.5588,1.5575
1.5678,1.5698,1.574,1.5588,1.5575,1.5603
1.5698,1.574,1.5588,1.5575,1.5603,1.554
1.574,1.5588,1.5575,1.5603,1.554,1.5576
1.5588,1.5575,1.5603,1.554,1.5576,1.5453
1.5575,1.5603,1.554,1.5576,1.5453,1.5407
1.5603,1.554,1.5576,1.5453,1.5407,1.5324
1.554,1.5576,1.5453,1.5407,1.5324,1.5017
1.5576,1.5453,1.5407,1.5324,1.5017,1.491
1.5453,1.5407,1.5324,1.5017,1.491,1.4926
1.5407,1.5324,1.5017,1.491,1.4926,1.4918
1.5324,1.5017,1.491,1.4926,1.4918,1.4825
1.5017,1.491,1.4926,1.4918,1.4825,1.4672
1.491,1.4926,1.4918,1.4825,1.4672,1.4694
